Time Serie Results File    
NAME   : TAVIRA 381A-02 
LOCALIZATION_I : -999999  
LOCALIZATION_J : -999999  
LOCALIZATION_K : 1  
SERIE_INITIAL_DATA   : 1999 6 22 17 40 0   
TIME_UNITS :  SECONDS  
MODEL_DOMAIN   :   
COORD_X : -7.6300  
COORD_Y : 37.1150  
Seconds YY MM DD hh mm ss Temp(oC) Sal Pressao(Kpa) DirN(o) VelC(cm/s) Comp-u(cm/s) Comp-v(cm/s) Turb(ftu)
<BeginTimeSerie>    
641400 1999 6 30 3 50 0 1.55E+01 3.61E+01 1.30E+01 5.05E+01 1.61E+01 1.24E+01 1.03E+01 9.00E-01
642000 1999 6 30 4 0 0 1.55E+01 3.62E+01 1.30E+01 5.19E+01 2.05E+01 1.62E+01 1.27E+01 9.00E-01
642600 1999 6 30 4 10 0 1.55E+01 3.62E+01 1.30E+01 4.42E+01 3.23E+01 2.25E+01 2.31E+01 9.70E-01
643200 1999 6 30 4 20 0 1.55E+01 3.62E+01 1.30E+01 4.80E+01 3.42E+01 2.54E+01 2.29E+01 9.00E-01
643800 1999 6 30 4 30 0 1.56E+01 3.61E+01 1.30E+01 4.80E+01 3.67E+01 2.73E+01 2.45E+01 9.90E-01
644400 1999 6 30 4 40 0 1.57E+01 3.61E+01 1.30E+01 4.63E+01 3.91E+01 2.83E+01 2.70E+01 1.09E+00
645000 1999 6 30 4 50 0 1.57E+01 3.61E+01 1.30E+01 4.84E+01 4.50E+01 3.36E+01 2.99E+01 9.90E-01
645600 1999 6 30 5 0 0 1.58E+01 3.62E+01 1.30E+01 4.38E+01 5.09E+01 3.52E+01 3.67E+01 1.13E+00
646200 1999 6 30 5 10 0 1.58E+01 3.61E+01 1.30E+01 4.07E+01 5.43E+01 3.54E+01 4.12E+01 1.09E+00
646800 1999 6 30 5 20 0 1.58E+01 3.61E+01 1.30E+01 4.07E+01 5.53E+01 3.60E+01 4.19E+01 1.13E+00
647400 1999 6 30 5 30 0 1.59E+01 3.61E+01 1.30E+01 3.93E+01 6.16E+01 3.90E+01 4.77E+01 1.27E+00
648000 1999 6 30 5 40 0 1.60E+01 3.61E+01 1.30E+01 3.85E+01 6.36E+01 3.96E+01 4.97E+01 1.42E+00
648600 1999 6 30 5 50 0 1.60E+01 3.61E+01 1.30E+01 3.93E+01 6.50E+01 4.11E+01 5.04E+01 1.61E+00
649200 1999 6 30 6 0 0 1.62E+01 3.61E+01 1.30E+01 3.96E+01 6.36E+01 4.05E+01 4.90E+01 1.75E+00
649800 1999 6 30 6 10 0 1.64E+01 3.61E+01 1.30E+01 3.78E+01 6.65E+01 4.08E+01 5.25E+01 1.85E+00
650400 1999 6 30 6 20 0 1.65E+01 3.61E+01 1.30E+01 3.82E+01 6.26E+01 3.87E+01 4.92E+01 1.99E+00
651000 1999 6 30 6 30 0 1.67E+01 3.62E+01 1.30E+01 3.85E+01 6.45E+01 4.02E+01 5.05E+01 2.14E+00
651600 1999 6 30 6 40 0 1.70E+01 3.62E+01 1.30E+01 3.93E+01 6.01E+01 3.80E+01 4.66E+01 2.19E+00
652200 1999 6 30 6 50 0 1.72E+01 3.62E+01 1.30E+01 3.85E+01 6.16E+01 3.84E+01 4.82E+01 2.24E+00
652800 1999 6 30 7 0 0 1.75E+01 3.62E+01 1.30E+01 3.82E+01 5.38E+01 3.33E+01 4.23E+01 2.53E+00
653400 1999 6 30 7 10 0 1.78E+01 3.63E+01 1.30E+01 3.93E+01 5.09E+01 3.22E+01 3.94E+01 2.33E+00
654000 1999 6 30 7 20 0 1.82E+01 3.63E+01 1.30E+01 3.82E+01 4.79E+01 2.96E+01 3.77E+01 2.75E+00
654600 1999 6 30 7 30 0 1.86E+01 3.62E+01 1.30E+01 3.64E+01 4.40E+01 2.61E+01 3.54E+01 2.33E+00
655200 1999 6 30 7 40 0 1.89E+01 3.62E+01 1.30E+01 3.54E+01 3.86E+01 2.24E+01 3.15E+01 2.90E+00
655800 1999 6 30 7 50 0 1.92E+01 3.63E+01 1.30E+01 3.40E+01 3.52E+01 1.97E+01 2.92E+01 3.13E+00
656400 1999 6 30 8 0 0 1.95E+01 3.62E+01 1.30E+01 3.61E+01 3.33E+01 1.96E+01 2.69E+01 3.13E+00
657000 1999 6 30 8 10 0 1.96E+01 3.61E+01 1.30E+01 3.75E+01 2.64E+01 1.61E+01 2.09E+01 3.31E+00
657600 1999 6 30 8 20 0 1.97E+01 3.65E+01 1.30E+01 3.47E+01 2.05E+01 1.17E+01 1.69E+01 3.18E+00
658200 1999 6 30 8 30 0 1.99E+01 3.65E+01 1.30E+01 2.87E+01 1.37E+01 6.57E+00 1.20E+01 3.18E+00
658800 1999 6 30 8 40 0 1.98E+01 3.66E+01 1.30E+01 3.54E+01 9.29E+00 5.38E+00 7.57E+00 3.33E+00
659400 1999 6 30 8 50 0 1.98E+01 3.66E+01 1.30E+01 1.85E+01 2.44E+00 7.76E-01 2.32E+00 3.18E+00
660000 1999 6 30 9 0 0 1.98E+01 3.66E+01 1.30E+01 2.34E+02 2.44E+00 -1.99E+00 -1.42E+00 3.21E+00
660600 1999 6 30 9 10 0 1.98E+01 3.66E+01 1.30E+01 2.11E+02 4.40E+00 -2.28E+00 -3.77E+00 3.28E+00
661200 1999 6 30 9 20 0 1.98E+01 3.66E+01 1.30E+01 1.94E+02 7.82E+00 -1.89E+00 -7.59E+00 2.93E+00
661800 1999 6 30 9 30 0 1.98E+01 3.65E+01 1.30E+01 2.15E+02 7.82E+00 -4.45E+00 -6.43E+00 2.90E+00
662400 1999 6 30 9 40 0 2.00E+01 3.66E+01 1.30E+01 2.20E+02 8.80E+00 -5.61E+00 -6.78E+00 2.93E+00
663000 1999 6 30 9 50 0 2.00E+01 3.66E+01 1.30E+01 2.13E+02 1.27E+01 -6.98E+00 -1.06E+01 2.68E+00
663600 1999 6 30 10 0 0 1.95E+01 3.66E+01 1.30E+01 2.03E+02 1.71E+01 -6.71E+00 -1.57E+01 3.03E+00
664200 1999 6 30 10 10 0 1.93E+01 3.64E+01 1.30E+01 2.12E+02 2.15E+01 -1.13E+01 -1.83E+01 2.93E+00
664800 1999 6 30 10 20 0 1.90E+01 3.62E+01 1.30E+01 2.07E+02 1.81E+01 -8.30E+00 -1.61E+01 2.68E+00
665400 1999 6 30 10 30 0 1.88E+01 3.62E+01 1.30E+01 2.14E+02 2.59E+01 -1.44E+01 -2.16E+01 2.53E+00
666000 1999 6 30 10 40 0 1.89E+01 3.63E+01 1.30E+01 2.14E+02 2.79E+01 -1.54E+01 -2.32E+01 2.73E+00
666600 1999 6 30 10 50 0 1.85E+01 3.62E+01 1.30E+01 2.14E+02 3.08E+01 -1.71E+01 -2.56E+01 2.53E+00
667200 1999 6 30 11 0 0 1.79E+01 3.61E+01 1.30E+01 2.14E+02 3.42E+01 -1.93E+01 -2.83E+01 2.29E+00
667800 1999 6 30 11 10 0 1.72E+01 3.61E+01 1.30E+01 2.12E+02 3.57E+01 -1.90E+01 -3.02E+01 1.80E+00
668400 1999 6 30 11 20 0 1.67E+01 3.60E+01 1.30E+01 2.16E+02 4.11E+01 -2.44E+01 -3.30E+01 1.54E+00
669000 1999 6 30 11 30 0 1.65E+01 3.61E+01 1.30E+01 2.17E+02 4.25E+01 -2.55E+01 -3.41E+01 1.37E+00
669600 1999 6 30 11 40 0 1.64E+01 3.61E+01 1.30E+01 2.17E+02 4.74E+01 -2.86E+01 -3.78E+01 1.37E+00
670200 1999 6 30 11 50 0 1.64E+01 3.61E+01 1.30E+01 2.15E+02 4.99E+01 -2.86E+01 -4.08E+01 1.32E+00
670800 1999 6 30 12 0 0 1.65E+01 3.61E+01 1.30E+01 2.16E+02 4.74E+01 -2.82E+01 -3.81E+01 1.27E+00
671400 1999 6 30 12 10 0 1.65E+01 3.61E+01 1.30E+01 2.15E+02 4.74E+01 -2.70E+01 -3.90E+01 1.25E+00
672000 1999 6 30 12 20 0 1.66E+01 3.61E+01 1.30E+01 2.19E+02 4.84E+01 -3.02E+01 -3.78E+01 1.13E+00
672600 1999 6 30 12 30 0 1.66E+01 3.60E+01 1.30E+01 2.17E+02 5.13E+01 -3.10E+01 -4.09E+01 1.09E+00
673200 1999 6 30 12 40 0 1.66E+01 3.61E+01 1.30E+01 2.16E+02 4.89E+01 -2.86E+01 -3.97E+01 1.09E+00
673800 1999 6 30 12 50 0 1.66E+01 3.61E+01 1.30E+01 2.18E+02 4.74E+01 -2.89E+01 -3.76E+01 1.09E+00
674400 1999 6 30 13 0 0 1.65E+01 3.60E+01 1.30E+01 2.19E+02 4.74E+01 -2.98E+01 -3.69E+01 9.90E-01
675000 1999 6 30 13 10 0 1.66E+01 3.60E+01 1.30E+01 2.19E+02 4.69E+01 -2.93E+01 -3.67E+01 9.90E-01
675600 1999 6 30 13 20 0 1.66E+01 3.57E+01 1.30E+01 2.17E+02 5.04E+01 -3.02E+01 -4.03E+01 9.90E-01
676200 1999 6 30 13 30 0 1.66E+01 3.58E+01 1.30E+01 2.19E+02 4.84E+01 -3.06E+01 -3.75E+01 9.90E-01
676800 1999 6 30 13 40 0 1.66E+01 3.58E+01 1.30E+01 2.19E+02 4.99E+01 -3.16E+01 -3.86E+01 9.90E-01
677400 1999 6 30 13 50 0 1.66E+01 3.58E+01 1.30E+01 2.20E+02 4.84E+01 -3.13E+01 -3.69E+01 9.90E-01
678000 1999 6 30 14 0 0 1.67E+01 3.58E+01 1.30E+01 2.20E+02 4.40E+01 -2.85E+01 -3.35E+01 9.90E-01
678600 1999 6 30 14 10 0 1.68E+01 3.60E+01 1.30E+01 2.22E+02 4.65E+01 -3.11E+01 -3.45E+01 9.70E-01
679200 1999 6 30 14 20 0 1.69E+01 3.51E+01 1.30E+01 2.20E+02 4.50E+01 -2.89E+01 -3.45E+01 9.40E-01
679800 1999 6 30 14 30 0 1.69E+01 3.51E+01 1.30E+01 2.22E+02 3.91E+01 -2.62E+01 -2.90E+01 9.40E-01
680400 1999 6 30 14 40 0 1.69E+01 3.51E+01 1.30E+01 2.19E+02 3.86E+01 -2.41E+01 -3.02E+01 9.40E-01
681000 1999 6 30 14 50 0 1.69E+01 3.51E+01 1.30E+01 2.19E+02 3.67E+01 -2.32E+01 -2.84E+01 9.00E-01
681600 1999 6 30 15 0 0 1.70E+01 3.51E+01 1.30E+01 2.23E+02 3.08E+01 -2.09E+01 -2.26E+01 9.00E-01
682200 1999 6 30 15 10 0 1.70E+01 3.51E+01 1.30E+01 2.19E+02 2.59E+01 -1.63E+01 -2.02E+01 9.40E-01
682800 1999 6 30 15 20 0 1.70E+01 3.52E+01 1.30E+01 2.20E+02 1.86E+01 -1.20E+01 -1.42E+01 9.00E-01
683400 1999 6 30 15 30 0 1.70E+01 3.57E+01 1.30E+01 2.18E+02 1.47E+01 -9.07E+00 -1.15E+01 9.00E-01
684000 1999 6 30 15 40 0 1.70E+01 3.60E+01 1.30E+01 2.14E+02 1.03E+01 -5.79E+00 -8.48E+00 9.00E-01
684600 1999 6 30 15 50 0 1.70E+01 3.60E+01 1.30E+01 2.07E+02 4.90E-01 -2.24E-01 -4.34E-01 9.00E-01
685200 1999 6 30 16 0 0 1.71E+01 3.61E+01 1.30E+01 3.78E+01 7.82E+00 4.80E+00 6.18E+00 9.40E-01
685800 1999 6 30 16 10 0 1.71E+01 3.61E+01 1.30E+01 4.28E+01 1.76E+01 1.20E+01 1.29E+01 9.40E-01
686400 1999 6 30 16 20 0 1.72E+01 3.61E+01 1.30E+01 3.89E+01 2.89E+01 1.81E+01 2.25E+01 9.90E-01
687000 1999 6 30 16 30 0 1.71E+01 3.60E+01 1.30E+01 4.42E+01 3.91E+01 2.73E+01 2.81E+01 9.90E-01
687600 1999 6 30 16 40 0 1.72E+01 3.61E+01 1.30E+01 3.96E+01 4.25E+01 2.71E+01 3.28E+01 9.70E-01
688200 1999 6 30 16 50 0 1.73E+01 3.61E+01 1.30E+01 4.03E+01 4.79E+01 3.10E+01 3.65E+01 9.90E-01
688800 1999 6 30 17 0 0 1.73E+01 3.61E+01 1.30E+01 4.14E+01 5.53E+01 3.65E+01 4.15E+01 9.90E-01
689400 1999 6 30 17 10 0 1.73E+01 3.61E+01 1.30E+01 4.17E+01 5.92E+01 3.94E+01 4.42E+01 1.09E+00
690000 1999 6 30 17 20 0 1.74E+01 3.61E+01 1.30E+01 4.14E+01 6.16E+01 4.07E+01 4.62E+01 1.18E+00
690600 1999 6 30 17 30 0 1.74E+01 3.61E+01 1.30E+01 4.07E+01 6.21E+01 4.05E+01 4.71E+01 1.23E+00
691200 1999 6 30 17 40 0 1.75E+01 3.60E+01 1.30E+01 3.96E+01 6.85E+01 4.36E+01 5.27E+01 1.32E+00
691800 1999 6 30 17 50 0 1.76E+01 3.61E+01 1.30E+01 3.96E+01 6.60E+01 4.21E+01 5.09E+01 1.56E+00
692400 1999 6 30 18 0 0 1.78E+01 3.61E+01 1.30E+01 4.03E+01 7.14E+01 4.62E+01 5.44E+01 1.56E+00
693000 1999 6 30 18 10 0 1.79E+01 3.60E+01 1.30E+01 4.03E+01 6.85E+01 4.43E+01 5.22E+01 2.09E+00
693600 1999 6 30 18 20 0 2.08E+01 3.60E+01 1.30E+01 3.96E+01 4.30E+01 2.74E+01 3.32E+01 3.84E+00
694200 1999 6 30 18 30 0 2.10E+01 3.59E+01 1.30E+01 4.00E+01 4.30E+01 2.76E+01 3.30E+01 3.84E+00
694800 1999 6 30 18 40 0 2.10E+01 3.59E+01 1.30E+01 3.89E+01 4.21E+01 2.64E+01 3.27E+01 3.94E+00
695400 1999 6 30 18 50 0 2.12E+01 3.59E+01 1.30E+01 3.57E+01 3.96E+01 2.31E+01 3.21E+01 3.92E+00
696000 1999 6 30 19 0 0 2.13E+01 3.63E+01 1.30E+01 4.21E+01 4.06E+01 2.72E+01 3.01E+01 3.41E+00
696600 1999 6 30 19 10 0 2.15E+01 3.61E+01 1.30E+01 4.31E+01 3.52E+01 2.41E+01 2.57E+01 2.29E+00
697200 1999 6 30 19 20 0 2.17E+01 3.62E+01 6.00E+00 4.17E+01 3.72E+01 2.47E+01 2.77E+01 3.03E+00
697800 1999 6 30 19 30 0 2.18E+01 3.62E+01 6.00E+00 4.38E+01 3.91E+01 2.71E+01 2.82E+01 4.15E+00
698400 1999 6 30 19 40 0 2.20E+01 3.54E+01 1.30E+01 4.03E+01 4.16E+01 2.69E+01 3.17E+01 3.59E+00
699000 1999 6 30 19 50 0 2.22E+01 3.57E+01 6.00E+00 4.07E+01 3.67E+01 2.39E+01 2.78E+01 4.46E+00
699600 1999 6 30 20 0 0 2.23E+01 3.61E+01 1.30E+01 3.75E+01 3.23E+01 1.96E+01 2.56E+01 4.56E+00
700200 1999 6 30 20 10 0 2.24E+01 3.61E+01 1.30E+01 3.78E+01 2.79E+01 1.71E+01 2.20E+01 3.74E+00
700800 1999 6 30 20 20 0 2.32E+01 3.57E+01 1.30E+01 4.66E+01 2.69E+01 1.95E+01 1.85E+01 4.98E+00
701400 1999 6 30 20 30 0 2.29E+01 3.60E+01 6.00E+00 3.61E+01 2.69E+01 1.58E+01 2.17E+01 4.98E+00
702000 1999 6 30 20 40 0 2.29E+01 3.63E+01 6.00E+00 4.00E+01 2.93E+01 1.88E+01 2.25E+01 3.99E+00
702600 1999 6 30 20 50 0 2.29E+01 3.62E+01 1.30E+01 4.10E+01 2.10E+01 1.38E+01 1.59E+01 4.62E+00
703200 1999 6 30 21 0 0 2.31E+01 3.63E+01 1.30E+01 3.75E+01 1.17E+01 7.14E+00 9.31E+00 3.69E+00
703800 1999 6 30 21 10 0 2.31E+01 3.62E+01 6.00E+00 3.82E+01 6.84E+00 4.23E+00 5.38E+00 4.56E+00
704400 1999 6 30 21 20 0 2.32E+01 3.63E+01 6.00E+00 4.28E+01 5.87E+00 3.98E+00 4.31E+00 4.46E+00
705000 1999 6 30 21 30 0 2.33E+01 3.61E+01 1.30E+01 5.84E+00 2.44E+00 2.49E-01 2.43E+00 4.25E+00
705600 1999 6 30 21 40 0 2.32E+01 3.62E+01 6.00E+00 3.58E+02 4.89E+00 -1.91E-01 4.89E+00 4.77E+00
706200 1999 6 30 21 50 0 2.32E+01 3.62E+01 1.30E+01 2.03E+01 4.40E+00 1.52E+00 4.13E+00 4.46E+00
706800 1999 6 30 22 0 0 2.33E+01 3.62E+01 1.30E+01 2.20E+02 3.91E+00 -2.51E+00 -3.00E+00 4.25E+00
707400 1999 6 30 22 10 0 2.34E+01 3.58E+01 6.00E+00 2.15E+02 9.78E+00 -5.66E+00 -7.97E+00 4.56E+00
708000 1999 6 30 22 20 0 2.34E+01 3.59E+01 6.00E+00 2.33E+02 6.36E+00 -5.10E+00 -3.80E+00 4.51E+00
708600 1999 6 30 22 30 0 2.31E+01 3.60E+01 6.00E+00 2.32E+02 7.33E+00 -5.80E+00 -4.49E+00 4.56E+00
709200 1999 6 30 22 40 0 2.33E+01 3.57E+01 6.00E+00 2.31E+02 1.27E+01 -9.86E+00 -8.02E+00 4.23E+00
709800 1999 6 30 22 50 0 2.33E+01 3.57E+01 6.00E+00 2.26E+02 1.76E+01 -1.27E+01 -1.22E+01 4.72E+00
710400 1999 6 30 23 0 0 2.31E+01 3.59E+01 6.00E+00 2.27E+02 1.37E+01 -1.00E+01 -9.34E+00 3.69E+00
711000 1999 6 30 23 10 0 2.29E+01 3.59E+01 6.00E+00 2.27E+02 1.71E+01 -1.24E+01 -1.17E+01 3.18E+00
711600 1999 6 30 23 20 0 2.27E+01 3.60E+01 6.00E+00 2.21E+02 1.76E+01 -1.16E+01 -1.32E+01 2.83E+00
712200 1999 6 30 23 30 0 2.26E+01 3.61E+01 6.00E+00 2.20E+02 2.00E+01 -1.29E+01 -1.54E+01 2.78E+00
712800 1999 6 30 23 40 0 2.27E+01 3.60E+01 6.00E+00 2.20E+02 2.05E+01 -1.31E+01 -1.58E+01 2.78E+00
713400 1999 6 30 23 50 0 2.26E+01 3.60E+01 6.00E+00 2.19E+02 2.64E+01 -1.66E+01 -2.05E+01 2.93E+00
714000 1999 7 1 0 0 0 2.20E+01 3.62E+01 6.00E+00 2.24E+02 3.23E+01 -2.25E+01 -2.31E+01 3.69E+00
714600 1999 7 1 0 10 0 2.16E+01 3.62E+01 6.00E+00 2.25E+02 3.08E+01 -2.17E+01 -2.18E+01 3.33E+00
715200 1999 7 1 0 20 0 2.18E+01 3.61E+01 1.30E+01 2.20E+02 3.23E+01 -2.06E+01 -2.49E+01 3.56E+00
715800 1999 7 1 0 30 0 2.18E+01 3.59E+01 1.30E+01 2.24E+02 3.08E+01 -2.15E+01 -2.21E+01 3.41E+00
716400 1999 7 1 0 40 0 2.09E+01 3.59E+01 1.30E+01 2.27E+02 3.03E+01 -2.22E+01 -2.07E+01 4.10E+00
717000 1999 7 1 0 50 0 2.06E+01 3.62E+01 1.30E+01 2.22E+02 2.74E+01 -1.85E+01 -2.02E+01 2.93E+00
717600 1999 7 1 1 0 0 2.05E+01 3.62E+01 1.30E+01 2.21E+02 2.89E+01 -1.89E+01 -2.18E+01 2.53E+00
718200 1999 7 1 1 10 0 2.03E+01 3.63E+01 1.30E+01 2.21E+02 3.42E+01 -2.25E+01 -2.58E+01 2.36E+00
718800 1999 7 1 1 20 0 2.02E+01 3.63E+01 1.30E+01 2.17E+02 2.89E+01 -1.74E+01 -2.30E+01 3.23E+00
719400 1999 7 1 1 30 0 2.02E+01 3.62E+01 1.30E+01 2.21E+02 3.42E+01 -2.23E+01 -2.60E+01 2.63E+00
720000 1999 7 1 1 40 0 2.01E+01 3.63E+01 1.30E+01 2.17E+02 3.23E+01 -1.95E+01 -2.57E+01 2.29E+00
720600 1999 7 1 1 50 0 2.01E+01 3.62E+01 1.30E+01 2.19E+02 3.08E+01 -1.95E+01 -2.38E+01 2.33E+00
721200 1999 7 1 2 0 0 2.00E+01 3.63E+01 6.00E+00 2.19E+02 3.23E+01 -2.01E+01 -2.52E+01 2.43E+00
721800 1999 7 1 2 10 0 2.00E+01 3.63E+01 1.30E+01 2.26E+02 3.23E+01 -2.32E+01 -2.24E+01 2.53E+00
722400 1999 7 1 2 20 0 2.00E+01 3.63E+01 1.30E+01 2.24E+02 2.89E+01 -2.01E+01 -2.07E+01 2.14E+00
723000 1999 7 1 2 30 0 2.00E+01 3.63E+01 1.30E+01 2.21E+02 2.79E+01 -1.84E+01 -2.09E+01 2.68E+00
723600 1999 7 1 2 40 0 1.99E+01 3.62E+01 1.30E+01 2.23E+02 2.98E+01 -2.03E+01 -2.19E+01 2.38E+00
724200 1999 7 1 2 50 0 1.99E+01 3.63E+01 1.30E+01 2.20E+02 2.74E+01 -1.75E+01 -2.11E+01 2.33E+00
724800 1999 7 1 3 0 0 1.99E+01 3.62E+01 1.30E+01 2.22E+02 2.64E+01 -1.77E+01 -1.96E+01 2.73E+00
725400 1999 7 1 3 10 0 1.98E+01 3.62E+01 1.30E+01 2.26E+02 2.05E+01 -1.47E+01 -1.44E+01 2.83E+00
726000 1999 7 1 3 20 0 1.98E+01 3.62E+01 1.30E+01 2.20E+02 1.91E+01 -1.22E+01 -1.47E+01 2.73E+00
726600 1999 7 1 3 30 0 1.98E+01 3.62E+01 1.30E+01 2.25E+02 1.66E+01 -1.17E+01 -1.18E+01 3.03E+00
727200 1999 7 1 3 40 0 1.98E+01 3.62E+01 1.30E+01 2.22E+02 1.12E+01 -7.59E+00 -8.30E+00 2.73E+00
727800 1999 7 1 3 50 0 1.98E+01 3.62E+01 1.30E+01 2.23E+02 5.38E+00 -3.65E+00 -3.95E+00 2.53E+00
728400 1999 7 1 4 0 0 1.98E+01 3.62E+01 1.30E+01 2.31E+02 5.38E+00 -4.17E+00 -3.39E+00 3.00E+00
729000 1999 7 1 4 10 0 1.98E+01 3.62E+01 1.30E+01 1.43E+01 1.47E+00 3.62E-01 1.42E+00 2.38E+00
729600 1999 7 1 4 20 0 1.98E+01 3.62E+01 1.30E+01 1.04E+02 9.80E-01 9.48E-01 -2.41E-01 2.88E+00
730200 1999 7 1 4 30 0 1.97E+01 3.62E+01 1.30E+01 3.47E+01 2.44E+00 1.39E+00 2.01E+00 2.04E+00
730800 1999 7 1 4 40 0 1.97E+01 3.62E+01 1.30E+01 5.02E+01 8.31E+00 6.38E+00 5.33E+00 2.14E+00
731400 1999 7 1 4 50 0 1.97E+01 3.62E+01 1.30E+01 3.82E+01 8.31E+00 5.14E+00 6.53E+00 1.94E+00
732000 1999 7 1 5 0 0 1.98E+01 3.62E+01 1.30E+01 4.14E+01 1.32E+01 8.72E+00 9.91E+00 2.38E+00
732600 1999 7 1 5 10 0 1.98E+01 3.63E+01 1.30E+01 3.89E+01 1.86E+01 1.17E+01 1.45E+01 3.21E+00
733200 1999 7 1 5 20 0 1.98E+01 3.62E+01 1.30E+01 3.57E+01 1.86E+01 1.08E+01 1.51E+01 2.33E+00
733800 1999 7 1 5 30 0 1.98E+01 3.62E+01 1.30E+01 3.89E+01 2.30E+01 1.44E+01 1.79E+01 2.61E+00
734400 1999 7 1 5 40 0 1.98E+01 3.63E+01 1.30E+01 4.35E+01 2.49E+01 1.72E+01 1.81E+01 3.03E+00
735000 1999 7 1 5 50 0 1.98E+01 3.63E+01 1.30E+01 3.82E+01 3.03E+01 1.87E+01 2.38E+01 3.03E+00
735600 1999 7 1 6 0 0 1.99E+01 3.62E+01 1.30E+01 4.03E+01 3.13E+01 2.02E+01 2.39E+01 2.93E+00
736200 1999 7 1 6 10 0 1.99E+01 3.62E+01 1.30E+01 4.56E+01 3.67E+01 2.62E+01 2.57E+01 3.03E+00
736800 1999 7 1 6 20 0 2.00E+01 3.62E+01 1.30E+01 4.28E+01 3.96E+01 2.69E+01 2.91E+01 2.93E+00
737400 1999 7 1 6 30 0 2.00E+01 3.62E+01 1.30E+01 4.38E+01 4.16E+01 2.88E+01 3.00E+01 2.53E+00
738000 1999 7 1 6 40 0 2.00E+01 3.62E+01 1.30E+01 4.31E+01 4.35E+01 2.97E+01 3.18E+01 3.03E+00
738600 1999 7 1 6 50 0 2.01E+01 3.62E+01 1.30E+01 4.28E+01 4.55E+01 3.09E+01 3.34E+01 2.88E+00
739200 1999 7 1 7 0 0 2.03E+01 3.61E+01 1.30E+01 4.14E+01 4.35E+01 2.88E+01 3.27E+01 3.43E+00
739800 1999 7 1 7 10 0 2.04E+01 3.61E+01 1.30E+01 4.00E+01 4.25E+01 2.73E+01 3.26E+01 3.33E+00
740400 1999 7 1 7 20 0 2.06E+01 3.61E+01 1.30E+01 3.71E+01 4.21E+01 2.54E+01 3.35E+01 2.33E+00
741000 1999 7 1 7 30 0 2.08E+01 3.63E+01 1.30E+01 4.21E+01 3.86E+01 2.59E+01 2.87E+01 3.28E+00
741600 1999 7 1 7 40 0 2.10E+01 3.60E+01 1.30E+01 4.14E+01 4.50E+01 2.97E+01 3.38E+01 3.59E+00
742200 1999 7 1 7 50 0 2.12E+01 3.61E+01 1.30E+01 4.03E+01 3.91E+01 2.53E+01 2.98E+01 3.69E+00
742800 1999 7 1 8 0 0 2.13E+01 3.61E+01 1.30E+01 3.71E+01 3.67E+01 2.21E+01 2.92E+01 3.56E+00
743400 1999 7 1 8 10 0 2.14E+01 3.62E+01 1.30E+01 4.10E+01 3.62E+01 2.37E+01 2.73E+01 2.63E+00
744000 1999 7 1 8 20 0 2.15E+01 3.60E+01 1.30E+01 4.24E+01 3.42E+01 2.31E+01 2.53E+01 2.93E+00
744600 1999 7 1 8 30 0 2.16E+01 3.61E+01 1.30E+01 4.10E+01 3.37E+01 2.21E+01 2.55E+01 3.33E+00
745200 1999 7 1 8 40 0 2.16E+01 3.61E+01 1.30E+01 3.82E+01 3.28E+01 2.03E+01 2.57E+01 3.28E+00
745800 1999 7 1 8 50 0 2.15E+01 3.61E+01 1.30E+01 3.47E+01 2.69E+01 1.53E+01 2.21E+01 3.13E+00
746400 1999 7 1 9 0 0 2.15E+01 3.61E+01 1.30E+01 2.69E+01 2.00E+01 9.08E+00 1.79E+01 3.28E+00
747000 1999 7 1 9 10 0 2.16E+01 3.61E+01 1.30E+01 2.84E+01 1.91E+01 9.05E+00 1.68E+01 2.93E+00
747600 1999 7 1 9 20 0 2.16E+01 3.62E+01 1.30E+01 2.55E+01 1.71E+01 7.38E+00 1.54E+01 3.74E+00
748200 1999 7 1 9 30 0 2.16E+01 3.60E+01 1.30E+01 3.01E+01 1.56E+01 7.85E+00 1.35E+01 3.08E+00
748800 1999 7 1 9 40 0 2.17E+01 3.61E+01 1.30E+01 3.71E+01 1.86E+01 1.12E+01 1.48E+01 3.13E+00
749400 1999 7 1 9 50 0 2.18E+01 3.63E+01 1.30E+01 4.45E+01 9.29E+00 6.51E+00 6.62E+00 2.38E+00
750000 1999 7 1 10 0 0 2.18E+01 3.63E+01 1.30E+01 4.31E+01 3.91E+00 2.67E+00 2.86E+00 2.93E+00
750600 1999 7 1 10 10 0 2.17E+01 3.63E+01 1.30E+01 6.49E+01 2.93E+00 2.66E+00 1.24E+00 3.08E+00
751200 1999 7 1 10 20 0 2.17E+01 3.63E+01 1.30E+01 1.67E+01 3.91E+00 1.13E+00 3.75E+00 2.83E+00
751800 1999 7 1 10 30 0 2.17E+01 3.63E+01 1.30E+01 4.07E+01 3.42E+00 2.23E+00 2.60E+00 3.03E+00
752400 1999 7 1 10 40 0 2.17E+01 3.63E+01 1.30E+01 1.98E+00 1.96E+00 6.70E-02 1.95E+00 3.13E+00
753000 1999 7 1 10 50 0 2.16E+01 3.61E+01 1.30E+01 2.20E+02 2.93E+00 -1.87E+00 -2.26E+00 3.13E+00
753600 1999 7 1 11 0 0 2.17E+01 3.63E+01 6.00E+00 1.96E+02 6.36E+00 -1.76E+00 -6.11E+00 2.68E+00
